|   Lap |                          Metric |   Task |       Value |   Unit |
|------:|--------------------------------:|-------:|------------:|-------:|
|   All |              Total refresh time |        | 0.000533333 |    min |
|   All |      Min refresh time per shard |        |           0 |    min |
|   All |   Median refresh time per shard |        | 1.66667e-05 |    min |
|   All |      Max refresh time per shard |        |      0.0001 |    min |
|   All |                Total flush time |        |      0.0001 |    min |
|   All |        Min flush time per shard |        |           0 |    min |
|   All |     Median flush time per shard |        |           0 |    min |
|   All |        Max flush time per shard |        | 3.33333e-05 |    min |
|   All |              Total Young Gen GC |        |       33.41 |      s |
|   All |                Total Old Gen GC |        |           0 |      s |
|   All |                      Store size |        |     6.26752 |     GB |
|   All |                   Translog size |        |     6.23152 |     GB |
|   All |          Heap used for segments |        |     5.38232 |     MB |
|   All |        Heap used for doc values |        |    0.109394 |     MB |
|   All |             Heap used for terms |        |     4.96981 |     MB |
|   All |             Heap used for norms |        |    0.027771 |     MB |
|   All |            Heap used for points |        |  0.00808048 |     MB |
|   All |     Heap used for stored fields |        |    0.267258 |     MB |
|   All |                   Segment count |        |          25 |        |
|   All |                  Min Throughput | search |       52.08 |  ops/s |
|   All |               Median Throughput | search |      108.31 |  ops/s |
|   All |                  Max Throughput | search |      108.83 |  ops/s |
|   All |         50th percentile latency | search |      218.09 |     ms |
|   All |         90th percentile latency | search |     604.251 |     ms |
|   All |         99th percentile latency | search |     1184.69 |     ms |
|   All |       99.9th percentile latency | search |      1731.7 |     ms |
|   All |      99.99th percentile latency | search |     1963.59 |     ms |
|   All |        100th percentile latency | search |     2072.13 |     ms |
|   All |    50th percentile service time | search |      218.09 |     ms |
|   All |    90th percentile service time | search |     604.251 |     ms |
|   All |    99th percentile service time | search |     1184.69 |     ms |
|   All |  99.9th percentile service time | search |      1731.7 |     ms |
|   All | 99.99th percentile service time | search |     1963.59 |     ms |
|   All |   100th percentile service time | search |     2072.13 |     ms |
|   All |                      error rate | search |           0 |      % |
